node,type
7167,protein
23539,protein
374291,protein
10544,protein
5694,protein
2159,protein
DB09075,drug
DB06605,drug
DB09258,drug
DB01225,drug
DB06228,drug
DB00569,drug
4726,protein
335,protein
7786,protein
2638,protein
2747,protein
53904,protein
2936,protein
DB00262,drug
3043,protein
DB09140,drug
3163,protein
51477,protein
56901,protein
4190,protein
4700,protein
4701,protein
4714,protein
4729,protein
DB09270,drug
4731,protein
221955,protein
DB00435,drug
3620,protein
DB00150,drug
9061,protein
25824,protein
5621,protein
DB00759,drug
5775,protein
DB11157,drug
9479,protein
27330,protein
5104,protein
10991,protein
DB00117,drug
DB00254,drug
567,protein
6470,protein
440,protein
10381,protein
5047,protein
7358,protein
8703,protein
DB12159,drug
3566,protein
6511,protein
283,protein
1160,protein
1513,protein
79676,protein
10249,protein
9568,protein
2948,protein
meldonium,drug
8424,protein
DB09026,drug
5972,protein
DB00212,drug
DB09046,drug
3953,protein
5539,protein
DB00787,drug
56144,protein
